,Name,up,down,train_per,train_occ,2018_per,2018_occ,2019_per,2019_occ,2020_per,2020_occ,2021_per,2021_occ,2022_per,2022_occ,test_per,test_occ
6554,hPns,9,12,0.5700000000000001,21,0.8,5,0.83,6,1.0,1,0.75,8,0.6699999999999999,6,0.7692307692307693,26
6567,hSMh,12,14,0.54,26,0.6699999999999999,9,0.5,2,0.5,2,0.78,9,0.75,4,0.6923076923076923,26
6581,hSSS,34,37,0.52,71,0.7,10,0.54,13,0.5,10,0.5700000000000001,7,0.8,5,0.6,45
6597,hSns,11,12,0.52,23,0.71,7,0.6699999999999999,3,0.75,4,0.5,4,0.5,2,0.65,20
6601,hSsP,10,19,0.6599999999999999,29,0.71,7,0.71,7,0.5,8,0.62,8,1.0,3,0.6666666666666666,33
6602,hSsn,15,28,0.65,43,0.5,2,0.88,8,0.6699999999999999,6,0.75,4,0.5,2,0.7272727272727273,22
6603,hSss,25,29,0.54,54,0.6699999999999999,3,0.56,9,0.71,7,0.5,6,0.6,5,0.6,30
6631,hhPS,7,14,0.6699999999999999,21,0.6699999999999999,3,1.0,2,0.6,5,0.56,9,0.6,5,0.625,24
6634,hhSS,15,24,0.62,39,0.8,5,0.64,11,0.6699999999999999,3,1.0,5,1.0,4,0.7857142857142857,28
6659,hmNS,15,17,0.53,32,0.6,5,0.5,2,0.83,6,0.5,2,1.0,3,0.7222222222222222,18
6715,hnbM,10,15,0.6,25,0.8,5,0.6699999999999999,6,0.5,4,0.75,16,0.62,8,0.6923076923076923,39
6743,hsNB,10,12,0.55,22,1.0,1,0.75,4,0.75,4,1.0,2,0.75,4,0.8,15
6745,hsNS,13,19,0.5900000000000001,32,1.0,3,0.6,5,0.5,4,1.0,3,0.75,4,0.7368421052631579,19
6751,hsPS,13,13,0.5,26,0.5,6,0.5,2,0.71,7,0.5,10,0.5,2,0.5555555555555556,27
6753,hsSM,19,22,0.54,41,0.6699999999999999,6,0.71,7,0.5,4,0.5,8,1.0,5,0.6666666666666666,30
6758,hsSn,23,28,0.55,51,0.75,4,0.5,4,1.0,6,0.56,9,0.6,5,0.6785714285714286,28
6771,lBMB,15,21,0.5800000000000001,36,0.5700000000000001,7,0.5,6,0.89,9,0.62,8,0.56,9,0.6410256410256411,39
6780,lBPB,17,19,0.53,36,0.86,7,0.6699999999999999,3,0.53,15,0.75,4,0.5,6,0.6285714285714286,35
6784,lBPS,13,15,0.54,28,0.89,9,0.6699999999999999,9,0.5,14,0.6699999999999999,6,0.6,10,0.6458333333333334,48
6789,lBbS,8,14,0.64,22,0.6699999999999999,3,1.0,1,1.0,3,0.8,5,0.5,6,0.7222222222222222,18
6798,lBnS,14,14,0.5,28,0.5,8,0.56,9,0.6699999999999999,12,0.88,8,0.5,10,0.6170212765957447,47
6804,lHBM,7,14,0.6699999999999999,21,0.6699999999999999,3,0.6699999999999999,3,0.5,2,0.6,5,0.5,10,0.5652173913043478,23
6813,lHPS,12,16,0.5700000000000001,28,0.5700000000000001,7,0.5,6,0.6,10,0.54,13,0.6699999999999999,15,0.5882352941176471,51
